artist,song,duration (seconds),loudness,beats-per-minute,end-of-fade-in (sec),start_of_fade_out (sec),familiarity,buzz,terms
Emperor,Opus a Satana (Part 2),72.61995,-11.051,89.867,0,68.365,0.742963152,0.453391186,heavy metal
Julien Clerc,This Melody (Live),272.63955,-9.97,119.896,2.775,272.64,0.58547954,0.364384925,chanson
Glen Campbell,I'm Gone This Time,142.75873,-11.335,137.29,0.218,135.546,0.67159627,0.481024239,country rock
T.G. Sheppard,You Feel Good All Over,194.11546,-15.581,82.343,0.089,182.729,0.449323615,0.343281882,country rock
Slim Whitman,Indian Love Call,195.91791,-11.98,91.487,0.165,192.087,0.51644378,0.386669092,folk-pop
Savage Garden,You Can Still Be Free,118.33424,-11.215,84.69,0,118.334,0.728209707,0.538070295,easy listening
Queens Of The Stone Age,I Never Came,288.41751,-8.165,115.606,0.113,279.179,0.798645179,0.552413346,stoner metal
Hank Penny & The Lincoln Penny Orchestra,Dixie,123.21914,-12.69,126.523,1.001,118.079,0.445854631,0.347598889,western swing
Inspiral Carpets,Commercial Reign,283.76771,-8.7,113.677,0,271.83,0.605109702,0.398547535,indie rock
Borialis,Hourglass,239.3073,-5.758,86.938,0.182,220.264,0.454043995,0.421415103,rap rock
The Dirty Skirts,Wake,206.75873,-4.907,141.936,0.096,193.115,0.543516131,0.404182207,indie rock
Flor Silvestre,Caricia Y Herida,134.81751,-8.133,106.049,0,130.723,0.42054585,0.313569343,ranchera
BA(c)zu,Le tortillard,285.64853,-9.093,126.88,0.397,274.727,0.373850623,0.148985481,chanson
Redman,WKYA (drop),124.18567,-10.296,85.008,0,121.005,0.743129776,0.493566843,hip hop
Solistiyhtye Suomi,TerA$?slintu,134.08608,-12.839,133.699,4.441,130.38,0.13818761,0.31781096,german pop
Eddie Cantor,Now's The Time To Fall In Love,155.61098,-13.71,118.975,0.154,150.75,0.416141023,0.331090126,easy listening
Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),275.40853,-2.119,102.408,0,272.556,0.495559652,0.349192218,breakcore
Kai Winding,Mangos,223.4771,-14.438,112.006,0.291,220.026,0.430538907,0.316354001,hard bop
Sonny Simmons,A Distant Voice,443.24526,-13.002,45.527,0.23,430.736,0.428375417,0.317833879,free jazz
Mira,Openbare Weg,177.81506,-12.004,85.621,0.554,167.48,0.545110951,0.345751247,shoegaze
Citizen Kaned,President Johnson,385.33179,-8.37,108.061,3.048,382.647,0.483339422,0.277561738,chill-out
The Brooklyn Tabernacle Choir,Lead Me Lord,324.44036,-11.829,216.195,0,312.239,0.559278494,0.432011947,gospel
Ellen McIlwaine,Spontanous Combustion,275.12118,-6.29,132.428,0.34,272.933,0.438887475,0.325148571,blues-rock
Vince Guaraldi / Bola Sete,Choro,294.66077,-15.761,168.307,0.864,282.564,0.57810363,0.414892612,latin jazz
Maurice Chevalier,Ma Louise,193.20118,-27.433,140.956,0.497,190.003,0.502453177,0.391585329,chanson
Carl Cox Vs Yousef,I Want You (Forever),357.82485,-5.701,130.016,0.131,353.785,0.541975108,0.384184259,tech house
Organized Konfusion,Hate,198.3473,-8.709,175.769,0.201,182.184,0.683719468,0.412671631,hip hop
Martina McBride,I Can't Stop Loving You,261.95546,-13.627,100.194,0,253.452,0.614870934,0.628246419,country
Horace Andy,Thank You Lord,176.27383,-11.479,151.911,0.183,166.911,0.626436382,0.374271174,roots reggae
Nazz,How Can You Call That Beautiful (Stewkey Vocal),220.89098,-6.302,119.691,0,213.107,0.494681417,0.384146444,freakbeat
Tyrone Davis,Cheatin' In The Next Room,235.91138,-10.466,161.976,0.322,219.725,0.543866303,0.393215104,chicago soul
Hot Tuna,Candy Man,239.59465,-9.275,172.398,0.31,231.3,0.567278871,0.405178359,blues-rock
Richard Burton,I See The Boys Of Summer,171.49342,-37.398,109.823,0.085,165.216,0.432386477,0.28404741,jazz fusion
Rory Block,Three Is a Crowd,266.05669,-13.836,90.101,0.23,256.064,0.513829587,0.343185045,delta blues
Boyz II Men,On Bended Knee,329.27302,-7.103,116.473,0.45,322.101,0.790922848,0.601184942,new jack swing
Howard Armstrong,My Four Reasons,198.922,-13.495,126.821,0.228,190.705,0.454668191,0,piedmont blues
Donny Hathaway,Little Girl (LP Version),283.21914,-15.144,111.191,0.258,277.467,0.657406765,0.422472423,jazz funk
Miguel Gallardo,Eternamente Amame,238.68036,-12.991,125.508,0.386,230.742,0.45871209,0.335101425,male vocalist
Les Ogres De Barback,Niev nietch nievitch,254.06649,-6.01,137.888,0.43,249.562,0.652367864,0.437964733,chanson
DJ X-Change featuring DJ Joey A,Come Over,184.31955,-5.58,150.012,0.798,178.503,0.342440144,0.281284216,ghetto tech
Morel,Blue Taxi,311.40526,-4.313,108.367,0,300.118,0.49825931,0.33406579,dance pop
Tony Joe White,I Want Love (Tween You & Me) (Album Version),162.53342,-17.285,173.482,0.524,151.551,0.624723768,0.403509673,country rock
Wolfmother,White Feather,212.37506,-5.931,110.745,0.868,209.438,0.79225559,0.566971566,stoner metal
The Roches,Christlike Roche,338.33751,-14.248,130.027,0,328.986,0.573605491,0.372251208,singer-songwriter
Bob Margolin,You Rascal You,126.51057,-12.651,110.168,0,121.702,0.555985053,0.326848818,blues-rock
Thomas Battenstein,Sympathy,205.58322,-16.056,97.976,0.612,182.323,0.42562724,0,guitar
Jupiter Rising,They Say (Album),193.4624,-5.913,119.979,2.717,184.274,0.662649695,0.363177861,pop rap
Dharma Bums,Simon's Folly,127.4771,-5.541,156.968,2.148,118.195,0.491921881,0.345809443,progressive house
Saafir,Crawl Before You Ball (Album Version),234.762,-6.019,188.886,0.101,227.84,0.594779904,0.318902078,hip hop
The Verve Pipe,Medicate Myself,292.8322,-4.953,133.306,3.344,273.589,0.70334944,0.498395338,post-grunge
Bob Neuwirth,Biding Her Time,241.10975,-18.114,152.267,2.659,230.429,0.434272038,0.301502462,singer-songwriter
Marvin Sapp,More And More  (LP Version),270.68036,-11.061,166.275,0.334,267.906,0.733714697,0.459665457,gospel
James Hunter,Cowboy Ways,188.73424,-7.04,114.971,0,178.463,0.625443262,0.431526919,blue-eyed soul
Nelson Ned,Brasas Vivas,211.80036,-15.358,144.651,0.175,202.443,0.498663649,0.32188269,latin jazz
Mish Mash,Kolomeyke,254.32771,-11.213,152.005,0,249.858,0.505644262,0.351210537,vocal house
Cama,In This Life,210.36363,-5.904,155.074,0.364,201.497,0.406187449,0.273453727,los angeles
Maxi Priest,Groovin' In The Midnight,301.81832,-8.095,61.971,2.566,289.332,0.661001337,0.446890727,lovers rock
Porcupine Tree,Waiting,416.80934,-7.982,124.04,0,396.533,0.830252262,0.507965802,experimental rock
Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),413.36118,-8.804,191.196,0,408.503,0.554226467,0.424931835,arabesque
Foo Fighters,Hell,117.002,-5.699,152.127,0,114.712,0.839275393,0.550762085,grunge
Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),217.36444,-5.152,100.023,0.224,212.161,0.833178561,0.682263177,dance pop
The Avengers,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),122.72281,-9.965,192.688,4.418,117.034,0.574973901,0.42251494,rock
Robben Ford,I Got Over It (Album Version),203.98975,-11.976,154.322,0.161,182.921,0.604820432,0.383877494,blues-rock
Brazilian Tropical Orchestra,One Less Bell To Answer,192.44363,-10.229,236.006,0.485,178.66,0.378013152,0.339408486,bossa nova
Gil Semedo,Festa,285.36118,-6.284,150.666,0,274.715,0.441593442,0.382869956,zouk
Soda Stereo,Te Hacen Falta Vitaminas,225.12281,-3.818,175.421,0,203.593,0.711165787,0.466826993,rock
Xmilk,Sense And Trick,123.66322,-4.633,104.153,0,119.705,0.4621406,0.32138373,thrash core
Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix),525.16526,-5.602,127.278,0.148,513.724,0.471577282,0.3370893,folk-pop
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),204.06812,-5.157,160.165,0.415,193.562,0.669500125,0.544446277,ccm
Schizoid,Grim Prospects (Version 2 Remix),166.00771,-1.925,86.091,0,162.366,0.495559652,0.349192218,breakcore
Toni Braxton Featuring Shaggy,Christmas In Jamaica,219.01016,-5.21,149.94,0.235,203.233,0.737972528,0.555968804,dance pop
Perrey And Kingsley,Gossippo Perpetuo,127.9473,-12.717,135.78,0.165,123.222,0.530605798,0.350327605,easy listening
Sven Tasnadi,2190 Dias Contigo,570.90567,-12.28,122.967,0.15,538.372,0.480047819,0.306603641,tech house
Eddie,No Control,230.00771,-9.748,142.024,0,226.708,0.622684167,0.362238747,frevo
Enthroned,The Vitalized Shell,240.74404,-4.878,135.535,0,240.744,0.593416049,0.395709548,black metal
Suzanne Ciani,Mozart,192.20853,-23.988,139.189,0.357,183.229,0.631946666,0.380704536,meditation
Milan Band,Ciao Milan,152.0322,-9.414,128.598,0.479,143.871,0.20107756,0,serialism
Johnny Osbourne,Lend Me Your Chopper,215.30077,-9.741,163.445,0.588,208.376,0.618765786,0.409134869,roots reggae
Dolly Parton,Letter To Heaven,155.21914,-11.965,114.027,0,147.673,0.707335681,0.603876487,bluegrass
Rance Allen Group,Heaven is Where The Heart Is,207.12444,-12.779,111.316,0.352,192.447,0.488008882,0.31401179,jazz funk
Pearl Jam,Inside Job,428.56444,-8.403,105.994,4.267,414.697,0.81444811,0.60797181,grunge
Natalie Cole,Take A Look  (LP Version),185.7824,-13.251,88.489,3.059,174.556,0.69044755,0.507781667,vocal jazz
Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),654.28853,-5.884,118.433,3.048,638.462,0.780461749,0.574274731,alternative metal
Kiril Valeri,Bulgarian Dream,306.72934,-6.929,96.007,0,276.149,0.605874049,0.433945514,flamenco
Word,Amalgama,229.51138,-4.198,187.807,3.233,222.285,0.638880206,0.246340714,blues-rock
DJ Quik,Born and Raised In Compton,205.58322,-6.998,181.115,0,202.931,0.712098902,0.413393911,gangster rap
Hank Locklin,We're Gonna Go Fishin',127.05914,-12.772,148.357,0.322,114.724,0.635757022,0.379436972,honky tonk
BT,Robbers Kill Cop,44.35546,-18.147,136.164,0,44.355,0.786427083,0.512226738,electronica
2-4 Grooves feat. Reki D.,Relax,203.83302,-7.661,126.941,2.067,195.117,0.622829997,0.426944256,vocal house
The Jordanaires,Sweet By And By,176.50893,-17.308,159.582,0.497,165.535,0.382308283,0.283562596,country gospel
Descendents,Orgofart,140.66893,-28.347,89.495,0.078,135.285,0.727230316,0.476559379,hardcore punk
L.A. Guns,Bitch Is Back,201.09016,-2.869,102.259,0,201.09,0.665728336,0.456940558,heavy metal
Bare Jr.,Naked Albino,254.79791,-7.309,107.529,0,236.141,0.53938059,0.360583582,post-grunge
Shelley Fabares,Johnny Loves Me (LP Version),143.0722,-15.351,99.408,0.32,133.724,0.075124762,0.370194701,brill building pop
Norrie Paramor,Dearly Beloved,163.49995,-25.694,79.731,2.171,156.212,0.312415123,0.250601286,easy listening
Gary Hobbs,The Look Of Love,289.64526,-9.435,188.502,0,286.18,0.524700041,0.389765518,tejano
Diesel Boy,Cooler Than You,124.15955,-4.793,133.729,0.38,122.015,0.567814264,0.376688631,pop rock
Angelo Badalamenti,Taryns Deepest Fear,167.3922,-17.623,139.136,0.131,163.149,0.698770478,0.399451724,chill-out
Cradle Of Filth,Summer Dying Fast,321.35791,-6.2,193.693,0,312.761,0.784820389,0.572583336,sympho black metal
Jim Chappell,Still,263.94077,-19.821,76.693,0.429,248.123,0.520204911,0.361509802,chamber jazz
Ladybug,Snapshot,341.36771,-9.632,126.95,0,324.679,0.479695608,0.220050765,dancehall
Bandido,End Of The Road (Head Hornys Remix),333.13914,-5.671,144.812,0,317.719,0.463087254,0.327858925,hard house
Brixx,7 Miles,349.12608,-11.708,138.003,0,338.506,0.515611096,0,rap
Nine Inch Nails,The Frail,168.56771,-16.968,130.284,0,159.637,0.905776889,0.598458501,industrial metal
Susana Seivane,Para Milladoiro,350.71955,-13.038,152.013,0.519,334.17,0.352212817,0.297949266,gaita
Leland Martin,Stone Cold Fingers (Bonus Track),175.62077,-10.647,159.968,0.148,167.358,0.385143351,0.272190152,honky tonk
Test Icicles,Snowball,190.24934,-4.172,75.031,0,185.289,0.682045692,0.373464228,grime
Heaven 17,(We Don't Need This) Fascist Groove Thang,255.16363,-10.756,150.837,2.67,248.337,0.630928608,0.461558452,new romantic
React,Drunk Alone,120.2673,-3.422,143.231,0.502,116.013,0.485107918,0.247340584,happy hardcore
Sven Tasnadi,Charisma,557.26975,-12.26,123.993,0,508.54,0.480047819,0.306603641,tech house
Mance Lipscomb,Going Down Slow,187.53261,-23.527,97.981,0,180.355,0.450852685,0.33238987,texas blues
Scott Wesley Brown,All Rise,295.60118,-9.435,137.288,2.125,290.65,0.497307512,0.342406391,modern rock
FlA!vio JosA(c),Jogo Limpo,252.02893,-8.639,168.323,0.149,252.029,0.424278927,0.295470991,brazil
Moss,Silent Hill,329.35138,-7.672,111.079,0,316.883,0.602555589,0.389535576,future jazz
Pery Ribeiro,Our Love Is Here To Stay,180.00934,-13.668,133.009,0.258,171.648,0.385417447,0.312131222,bossa nova
Soular,Everything Changes,244.45342,-6.885,146.577,0,227.794,0.539181188,0.276702625,breakbeat
Dimmu Borgir,Master Of Disharmony,282.53995,-4.2,140.458,0.351,275.522,0.826075467,0.599602643,black metal
Public Image Ltd,(This Is Not A) Love Song (Live),388.28363,-16.433,132.506,2.49,383.994,0.684994897,0.415517083,dance rock
Gary Moore,What Are We Here For,345.93914,-6.951,153.862,0.416,339.754,0.761362238,0.467110649,blues-rock
Pascal Sangla,Une petite pause,243.1473,-14.737,93.238,0.525,235.886,0.464481282,0,french pop
The B-52's,Wig,261.74649,-9.628,124.086,3.489,250.921,0.681598553,0.537537201,dance rock
Dakis,Perasmena Mesanihta,172.25098,-8.46,66.765,0.449,165.727,0.336970428,0,greek
Sex Pistols,God Save the Queen (Live),216.60689,-3.736,145.518,0.177,214.192,0.73118423,0.549204384,punk
Chris Brown,Forever,363.59791,-4.376,139.998,0.09,353.913,0.892688611,0.852186238,r&b
Deekline & Wizard,Sun Is Shining,271.77751,-6.947,90.648,0,267.761,0.332330882,0,breakbeat
Daniela DessA!,New Age,330.65751,-12.279,140.334,0.229,324.261,0.349012002,0,opera
Hem,Have Yourself A Merry Little Christmas,133.27628,-15.736,89.86,0,117.661,0.632242851,0.453435791,folk-pop
Lily Allen,U Killed It,264.69832,-5.871,156.097,0,251.141,0.916058239,0.535408379,ska
Pentangle,Rain And Snow,228.51873,-12.053,179.501,0.229,223.37,0.547078569,0.333649141,british invasion
DJ Dips,Gerra De De,240.3522,-6.248,86.689,0.132,233.465,0.392570166,0.313989733,turnablism
Ana Bekuta,Kako mi je pitas sad,145.57995,-13.703,160.261,0,140.527,0.326699728,0.305074263,pop folk
Jason Miles,Voices On The Corner,235.80689,-9.716,101.03,0.131,235.807,0.458055179,0.371760895,jazz fusion
Busdriver,(Bloody Paw On The) Kill Floor,192.1824,-6.258,155.038,0.27,192.182,0.618002715,0.349476327,alternative hip hop
Byther Smith,I Wish My Mother Was Here,418.87302,-11.702,117.168,0.264,411.481,0.465194733,0.36228409,chicago blues
Bebo & Cigala,Inolvidable,198.26893,-14.509,132.967,0,193.782,0.483703807,0.351624469,latin jazz
Bizarre Inc,Miracle,420.10077,-9.062,139.91,7.367,412.473,0.633817882,0.354725755,breakbeat
Bongzilla,Witch Weed (Live),397.26975,-6.788,95.882,0.392,397.27,0.574400789,0.446071584,stoner metal
The Gone Jackals,Not Buried Deep Enough,229.79873,-12.772,135.175,0.205,226.441,0.44104996,0.353000688,blues-rock
The Willis Brothers,Give Me 40 Acres (To Turn This Rig Around),150.64771,-9.258,121.983,0,144.62,0.334628878,0.173067999,western swing
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Ernesto Nazareth,286.14485,-24.597,169.775,0.485,271.946,0.560411686,0.341904574,latin jazz
S.U.P,The Cube (Live),384.70485,-8.161,137.862,0.254,351.01,0.406166635,0.27238546,doom metal
Boogie Pimps,Get Back Down,415.03302,-6.751,83.326,0,372.663,0.62799739,0.365339653,hard house
Brian Keane,Battle Of The Rosebud / Cries,133.53751,-29.295,117.667,2.235,133.538,0.453171007,0.3008559,world beat
Aberdeen,Beyond the Light,266.70975,-12.658,90.908,0,257.225,0.583773265,0.343275661,twee pop
The Killers,Spaceman,284.3424,-6.546,151.953,0.206,267.685,0.918451789,0.819588282,rock
Gloriana,Pulecenella 'e mA2,179.06893,-17.522,161.054,0.844,175.92,0.73699197,0.47722519,teen pop
Butterfly Temple,Iskorosten' (instr.),100.5971,-10.777,159.895,1.268,100.597,0.511000944,0.366743932,doom metal
Grant Geissman,Big Stax/High Volts (Album Version),320.60036,-9.993,128.219,0,303.044,0.422971308,0.317248425,smooth jazz
20/20,It Goes On,302.36689,-12.99,101.229,14.588,284.595,0.50039601,0.314882184,power pop
JosA(c) Augusto,Pecado De Amor,284.70812,-8.339,98.859,0,274.448,0.429544942,0.322468155,latin pop
Orbital,Illuminate,327.8624,-6.531,125.975,0.38,316.447,0.693009204,0.498668875,techno
Bone Thugs-N-Harmony / Akon,Never Forget Me,286.30159,-6.933,154.09,0.177,273.601,0.81592342,0.555138322,gangster rap
Moonsorrow,Ukkosenjumalan poika,356.49261,-4.178,124.237,0.276,356.493,0.646618529,0.442652003,viking metal
N.W.A.,A B***** Is A B***** (Edited),168.75057,-8.91,97.099,0.281,165.86,0.747708669,0.52040786,gangster rap
Rage Against The Machine,Kick Out The Jams,201.56036,-2.069,140.63,0,201.56,0.783458021,0.5890868,rap metal
Jazz Gillum,Me And My Buddy,185.67791,-16.844,101.41,0.234,178.765,0.362800142,0.282286406,chicago blues
Rise Against,Amber Changing,218.8273,-3.803,186.254,0.194,218.827,0.847081688,0.625080481,hardcore punk
Ultraviolence,Murder Academy,303.04608,-10.57,210.47,0.102,292.664,0.499939221,0.374449431,gabba
Korn,Hey Daddy,224.522,-6.694,94.057,0,214.941,0.829135422,0.558298348,rap metal
Sir Neville Marriner,4 Sea Interludes Op. 33a: Storm,315.27138,-16.753,100.349,0,303.45,0.430024987,0.353034056,requiem
Agnes,I Need You Now,275.06893,-4.376,124.009,0,271.296,0.737540403,0.441355562,europop
James Horner,Atmosphere Station,191.81669,-38.525,90.084,3.146,179.868,0.679519208,0.491828704,rock
Tantric,Walk Away,177.24036,-1.843,106.698,0.107,171.404,0.720808698,0.467133519,post-grunge
